city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Heze,2901000,3652200,4508500,5396000,6860200,8217900,9573109,12270900,15565200,17873557,20500100,22221900,24009600,25602400,7708513,30787800,34100000
Zhengzhou,11022770,13778886,16606006,20134777,24867470,30039925,33085053,40408926,49798455,55497869,62019000,67769890,73115210,81139666,53849953,101433173,115900000
Kaifeng,2820917,3457413,4080088,4752888,5554386,6893747,7787245,9271584,10724197,12070542,13635447,14920564,16058404,17551002,6887402,20022269,23640000
Luoyang,6863165,9051980,11123986,13336460,15953222,19196384,20014846,23202460,27027571,29811236,31407596,32845734,34690273,38201075,16555755,46407821,50350000
Pingdingshan,3656628,4698229,5609931,6754105,8211632,10677008,11278100,13108394,14846148,14957963,15568788,16371717,17057781,18251414,5649429,21352232,23730000
Anyang,3617866,4634693,5574577,6460021,8078243,10360548,11248807,13155890,14866057,15668969,16836494,17918143,18844808,20298494,6166974,23932238,22290000
Hebi,1222482,1563417,1862357,2216682,2744319,3423523,3636276,4291193,5005192,5457806,6221183,6821975,7172528,7717894,3880451,8619013,9890000
Xinxiang,3789452,4615109,5441633,6399858,7796766,9494928,9919801,11899408,14894078,16197714,17660960,19179974,19750287,21669705,8005138,25265535,29180000
Jiaozuo,3414205,4557036,5839740,6990957,8560041,10315860,10714238,12459260,14426241,15513469,17073608,18443139,19260785,20950796,5162899,23714983,27610000
Puyang,2650299,3174246,3839824,4562361,5261408,6572798,6616319,7754037,8973433,9896987,11304789,12536056,13283410,14495555,4387409,16544700,15810000
Xuchang,4116846,5158199,6054744,7185397,8553952,10620503,11307471,13164870,15887419,17161891,18775574,20872312,21711562,23777133,7495540,28306218,28310000
Luohe,2215676,2795597,3221361,3802783,4370242,5502627,5917024,6804948,7517001,7971238,8615355,9411601,9928496,10819257,7027980,12366633,15780000
Sanmenxia,2245634,2746518,3351823,4121470,5184183,6542124,7027459,8744157,10304485,11273204,11920868,12400597,12510383,13258631,4316182,15281244,14440000
Nanyang,7241573,8933215,10534299,12030522,13763321,16364296,17144914,19533562,22023132,23407260,24992201,26755709,28668156,31149653,7557584,35667734,38150000
Shangqiu,3397493,4558370,5607773,6509783,7656721,9313905,9955475,11437913,13083722,13972750,15382197,16976370,18121623,19891538,4793000,23890346,29110000
Xinyang,3471173,4342689,5085635,5883499,6990260,8667899,9289974,10918323,12576828,13973205,15811632,17573375,18777440,20378010,5867475,23877965,27580000
Zhoukou,4034625,5219821,5954976,6777441,7985380,9841251,10653712,12283024,14074894,15747181,17906548,19920815,20896975,22638615,2360046,26872100,31980000
Zhumadian,3457143,4458303,5003555,5719231,6674772,8129755,9005247,10537118,12447731,13735463,15420210,16912964,18070960,19729881,3668609,23703300,27420000
Wuhan,16621797,19560000,22380000,25907569,31419048,39600819,46208600,55659300,67622000,80038200,90512700,100694800,109056000,119126100,134103400,148472900,162230000
Huangshi,2736400,3169800,3432100,4010300,4666800,5565700,5715900,6901200,9259600,10409500,11420300,12185600,12281000,13055500,7060400,15873300,17670000
Shiyan,2423400,2909600,3066300,3381500,4114200,4876426,5509600,7367800,8512500,9556800,10805900,12008200,13001200,14291500,10794677,17478200,20130000
Yichang,4913566,5886758,6080600,6949100,8209000,10265600,12723300,15473200,21406900,25088900,28180700,31322100,33848000,37093600,16525000,40641800,44610000
Xiangyang,5033100,5578800,5714700,6751838,7854500,10024600,12010100,15382700,21322200,25019600,28140200,31292600,33821200,36945100,20508774,43097900,48130000
Ezhou,1257000,1419200,1469700,1683300,2087073,2697900,3237121,3952900,4908900,5603900,6309400,6866400,7300100,7978200,9059200,10053000,11400000
Jingmen,3275115,3794609,3102908,3487304,4200794,5203600,6000969,7300700,9425900,10852600,12026100,13105900,13884600,15210000,5659000,18478900,20340000
Xiaogan,3435500,3812900,3602300,4041503,4808000,5930600,6728800,8006700,9581600,11051600,12389300,13547200,14572000,15766900,3164822,19129000,23010000
Jingzhou,3899800,4300200,3930400,4380700,5196300,6239800,7095800,8371000,10431100,11960200,13349300,14804900,15905000,17267500,6439500,20821800,25160000
Huanggang,3872350,4323957,3485600,3911900,4737400,6007500,7301900,8623000,10451100,11928800,13325500,14591500,15892400,17261700,2235000,20352000,23230000
Xianning,1736800,2050000,2038300,2341500,2867400,3591900,4051500,5203300,6520100,7609900,8721100,9642500,10300700,11079300,2830000,13624200,15950000
Suizhou,1568800,1896900,1930700,2183300,2576200,3102000,3419100,4016600,5179900,5905200,6619400,7234500,7852600,8521800,4346800,10111900,11620000
Changsha,9294858,11338828,15199001,17989572,21902548,30009795,37447641,45470573,56193285,63999097,71531346,78248074,85101328,93569088,63903360,110034116,115740000
Zhuzhou,3830868,4524770,5241377,6052653,7512625,9095676,10248939,12754805,15642651,17613222,19494317,21610147,23351075,24884543,11740538,26315423,30030000
Xiangtan,2676868,3327810,3668374,4220780,5268100,6547824,7393818,8940050,11241443,12823929,14430649,15705611,17030972,18667869,12342154,21613580,22580000
Hengyang,4454628,5421735,5908645,6720697,8208659,10000859,11680146,14203377,17342967,19577018,21694404,23965488,26015749,28530158,9082292,30460279,33730000
Shaoyang,2850856,3366166,3600894,4095117,4759067,5615709,6006947,7272893,9072264,10284120,11300386,12616104,13869988,15302577,3417031,17826481,21520000
Yueyang,4951877,5903086,6348661,7334020,9158376,11057360,12721499,15393576,18994920,21999170,24355050,26693384,28862800,31008720,13125986,34110068,37800000
Changde,4865833,5833656,6341680,7238368,8640845,10496975,12392306,14915686,18111879,20385039,22649358,25141545,27090169,29538202,16105239,33942030,36240000
Zhangjiajie,819087,960921,1106322,1275435,1513284,1839774,2030965,2424785,2980421,3389855,3656506,4100187,4477004,4930990,2796735,5789155,5520000
Yiyang,2396731,2873425,2947607,3362102,4176247,5112770,5916182,7122748,8836303,10202773,11231297,12531471,13544119,14931802,6868076,17583780,17920000
Chenzhou,3242609,3950835,4776876,5462338,6505242,7340633,8432283,10817632,13463756,15172679,16855232,18725768,20120654,22041285,6904667,23918696,24110000
Yongzhou,2803566,3278510,3612220,4145477,5063922,5926853,6400361,7670148,9453949,10595951,11754466,13014528,14181762,15658072,4708548,18056499,20170000
Huaihua,2496138,2912274,2952122,3339081,4116746,5037856,5594841,6749227,8456310,10010673,11176674,11812366,12732479,14003368,3456184,15132689,16170000
Loudi,2112509,2672073,3111113,3591162,4233519,5284038,5683129,6787067,8472625,10026518,11181729,12108581,12916626,14001393,4601745,15404137,16410000
