point,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"(101.772, 36.6225)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
"(101.795, 26.3479)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"(101.86, 36.0197)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(101.924, 35.3477)",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(102.0, 25.0)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,11.0,16.0,7.0,9.0,10.0,24.0,22.0,20.0,9.0
"(102.0, 38.0)",0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"(102.031, 26.8186)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(102.261, 24.4632)",0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"(102.262, 30.1817)",12.0,0.0,0.0,0.0,5.0,5.0,0.0,15.0,7.0,17.0,29.0,27.0,54.0,98.0,71.0,90.0,166.0,153.0,265.0,209.0,265.0
"(102.5, 30.5)",1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,10.0,8.0,3.0,11.0
"(102.54, 24.3579)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0
