city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Xuancheng,290,329,410,391,4171,8206,11192,23084,42518,54472,68173,76879,76908,90305,112055,139447,156972
Fuzhou,3634,4188,3810,4895,23736,28843,33118,41759,49275,64780,86258,93278,100554,112461,196765,290765,0
Xiamen,4465,5120,5132,5935,64953,83370,83952,95969,121892,138129,163750,173878,185764,212673,237386,285559,287913
Putian,862,963,1121,1240,5656,6184,9222,12234,14497,18832,26022,35031,27503,24704,31558,32205,384332
Sanming,1029,1322,1532,2135,7435,8354,12707,12692,16210,25314,33911,39532,44556,44261,46013,34507,24260
Quanzhou,2923,3086,4337,4948,29508,33956,37001,47247,67413,74016,92275,105743,123785,132399,149060,146891,32087
Zhangzhou,866,913,1100,1355,8210,12770,14804,18014,25778,30894,40040,44054,44655,45000,76713,49913,157351
Nanping,584,794,1185,1330,6131,7198,8686,10074,12923,14619,17162,19173,19266,18099,31004,36957,55114
Longyan,1057,1174,1477,1624,5846,9935,13745,14846,18739,26751,35047,48170,57886,55758,84419,89809,33879
Ningde,1120,1021,1371,1601,3945,4186,6061,9552,7003,11981,17391,12963,13531,18212,25757,68029,133880
Nanchang,1402,1602,1837,2329,20220,22457,32812,35583,37182,44786,54172,79045,82004,101403,217331,273821,339770
Jingdezhen,323,427,369,432,2500,3244,4319,5882,7743,9530,11418,11391,26071,18680,39606,26667,46447
Pingxiang,551,624,765,956,2264,3308,3386,8486,12116,15671,24383,29969,38294,44868,54288,65288,71819
Jiujiang,872,1051,1222,1451,4270,5715,6033,7816,11803,16597,38203,47498,51819,58853,75892,116150,175898
Xinyu,342,396,565,725,2789,3698,4690,10764,13299,14369,20705,18818,26284,26742,25604,24593,26417
Yingtan,196,186,255,224,2443,3205,3878,3136,4261,5823,17832,23041,28968,28610,52310,58214,102705
Ganzhou,1445,1575,1812,2125,5394,7384,11317,10017,12529,14984,45266,60993,83384,126100,184152,222623,275305
Jian,483,434,634,981,3527,5820,6660,7725,9956,11690,55467,65637,75203,73901,86765,115177,129078
Yichun2,853,886,905,1213,3099,7096,8316,11250,14963,19493,36633,60430,82657,98801,164296,217359,252209
Fuzhou2,622,623,671,1144,3918,6073,7167,8548,10908,18075,23978,31291,49486,55699,78134,102978,130288
Shangrao,517,645,836,1082,5248,8276,8586,11541,14017,14842,27886,42041,52745,47468,59322,92638,137951
Jinan,3643,3379,4165,4413,48261,54331,63156,75124,103192,118591,128716,118341,133596,139398,144063,222134,431758
