city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Weifang,10780.8,12299.17,13915.63,15603.76,18904.48,    23721.37, 28803.67,33710.57,36646.10,40966.45,46097.30,51231.30,57148,61815,68139,70054,75283
Jining,11986.97,13515.3,15639.87,18988.67,23752.30,    27983.44, 30995.96,35820.80,39251.50,44526.47,46490.64,50435.52,54077,57362,61909,66160,77459
Taian,10401.05,11955.29,13379.58,15264.11,17907.95,    21842.75, 25630.12,30904.21,35500.69,39987.44,44829.22,48323.79,51835,55493,59653,61508,67883
Weihai,11215.69,13200.57,15783.33,18165.92,21123.01,    24122.30, 27370.62,31913.04,35375.61,38800.25,43674.50,48727.98,53494,57812,62344,66733,71202
Rizhao,10226.81,11817.76,13042.3,15934,20006.85,    24134.04, 28383.56,33522.17,36958.81,39931.27,43944.92,49850.05,54734,59095,63418,71548,79686
Linyi,9885.02,11116.87,13457.35,15830.05,19127.45,    24101.49, 27666.84,31724.03,37445.64,42137.86,41897.04,49310.79,56312,60039,63440,67679,76310
Dezhou,8320.84,9303.15,10778.71,12652.14,15776.19,    18587.21, 21647.43,24262.28,28398.82,33477.45,38799.82,43203.24,48589,54390,58912,62690,71740
Liaocheng,9841.2,10820.32,11714.52,14119.82,15879.27,    18178.36, 21382.02,25783.32,29764.05,33690.48,37701.27,42237.10,48070,55223,60034,65436,70475
Binzhou,10249.17,11773.04,13550.25,15085.33,17887.75,    20713.68, 23846.99,28004.78,33713.25,40465.96,45110.02,48475.47,53865,58659,64749,70047,73518
Heze,7778.49,8860.56,9869.52,11870.9,14358.39,    16805.29, 19252.36,21959.38,26921.25,32213.73,35693.40,39416.86,45060,50979,55298,60527,66362
Zhengzhou,13537.99,15023.84,16695.7,18862.08,22156.23,    26477.63,    29836.72,32777.81,35755.56,40471.52,44941.19,49756.03,52987,61149,70486,80963,88030
Kaifeng,7703.57,8657.39,10121.77,11398.27,14432.06,    15586.65,    21232.35,24090.18,27446.95,26798.45,35320.24,35749.43,43535,48807,51541,57390,59288
Luoyang,10745.19,13030.57,14640.22,16374.2,19517.18,    22881.52,    26151.79,29908.09,33471.82,42397.31,40469.93,44484.20,46515,51295,57863,65974,75283
Pingdingshan,10367.46,12088.58,14537.02,16449.62,20095.70,    25003.38,    28435.05,31936.03,36740.74,40896.70,42493.07,44120.41,45046,46759,52728,60797,62154
Anyang,10564.82,11987.21,13421.39,15039.42,18534.93,    21495.41,    24092.74,26775.33,29495.74,33921.66,34612.98,38875.77,41379,45734,51098,61079,62727
Hebi,9173.93,10327.68,12040.59,13711.65,16738.51,    18431.14,    21130.00,25857.81,30265.48,34041.78,37580.60,37725.10,39646,42424,46871,54967,58801
Xinxiang,8407.3,9513.51,10603.68,11886.67,14794.10,    17271.01,    19969.14,21968.50,25451.57,30285.08,33539.73,37866.57,40873,44237,48886,57828,61149
Jiaozuo,9607.36,10962.79,12405.79,14557,18555.36,    20687.49,    24487.22,26330.62,30384.74,34751.92,34315.87,39916.51,42153,46410,50980,59234,61831
Puyang,12070.19,13355.05,14510.26,15744.07,19551.79,    22712.46,    24046.20,27151.45,32530.72,35193.42,37586.10,41746.92,43587,46227,51319,55800,70184
Xuchang,8611.07,9709.7,10683.64,12072.45,15599.38,    18582.61,    22813.07,26643.55,29854.10,33815.69,36021.53,41474.40,43792,48235,53268,59223,63355
Luohe,7914.95,8601.18,10268.41,11129.73,14296.54,    16407.97,    18912.01,21108.30,25535.46,31736.15,34981.34,38714.92,41389,41389,50681,50681,61411
Sanmenxia,9905.03,11298.23,13647.51,16572.92,19874.46,    23794.69,    26695.49,30456.45,33628.16,39390.97,42934.57,44357.84,44573,46479,57207,64578,66132
Nanyang,8774.3,10393.07,11819.18,13435.99,16007.18,    17847.30,    20804.22,23308.01,26535.73,30448.09,36097.67,41172.08,43082,47468,51871,57453,58160
Shangqiu,6920.77,8858.69,10197.77,12349.36,16877.25,    18771.78,    21653.28,24258.62,26193.43,30924.98,36656.06,44168.41,43845,47508,52542,57679,59769
Xinyang,8217.41,8837.47,10115.52,12447.84,15166.62,    18413.45,    21408.27,24705.98,26832.61,30491.00,34398.75,39808.98,84289,45413,50013,50013,60507
Zhoukou,6330.82,7202.72,8051.25,9235.68,12562.81,    16723.92,    20548.90,23376.60,27227.88,32091.58,36536.10,39490.77,42666,46355,50259,55539,56667
Zhumadian,7759.08,8552.79,9494.37,11032.05,14133.29,    16965.97,    18997.27,21490.38,24877.06,29193.69,32336.66,36362.75,37680,44830,49801,55723,59291
Wuhan,13729.79,15970.97,18504.98,20632.82,25135.54,    28431.31,0,39302.17,45643.64,48941.72,53745.00,60624.48,65720,71963,79684,88327,98043
Huangshi,10378.41,11271.46,12398.2,13821.08,15920.01,    17374.66,    17272.11,23662.99,26996.24,30079.71,33550.61,37514.79,41655,44549,48801,54437,56185
Shiyan,13849.04,14388.58,16315.58,17313.6,19159.14,    19182.16,    20991.85,24725.20,28556.40,31501.88,34926.12,39378.80,42676,46056,49733,53608,58138
Yichang,9971.88,10635.77,11824.17,12731.96,18186.77,    19744.21,    19332.00,22670.79,25977.80,28696.73,33030.21,39475.82,43282,47193,50498,54870,60135
Xiangyang,8461.79,9167.9,10196.59,11279.73,15381.52,    17907.72,    20290.44,24442.12,25768.84,29119.28,28493.66,43470.05,48022,50677,58706,67488,69683
